# Weather station Yahotyn, Ukraine, WMO_ID=33356,selection from 27.10.2017 till 27.10.2018, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ua 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ua/archive.php?wmo_id=33356&lang=en
#
"Local time in Yahotyn";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.09.2018 15:00";"25.5";"755.7";"766.6";"";"40";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.09.2018 12:00";"24.0";"756.4";"767.3";"";"50";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.09.2018 09:00";"17.5";"756.1";"767.3";"";"86";"Wind blowing from the south-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"12.09.2018 06:00";"11.0";"755.2";"766.6";"";"95";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"12.09.2018 03:00";"13.0";"755.2";"766.6";"";"93";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"12.09.2018 00:00";"15.2";"754.5";"765.8";"";"91";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"11.09.2018 21:00";"18.4";"754.0";"765.1";"";"84";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.09.2018 18:00";"22.5";"752.7";"763.6";"";"61";"Wind blowing from the east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.09.2018 15:00";"22.7";"751.9";"762.8";"";"63";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.09.2018 12:00";"21.9";"751.8";"762.8";"";"65";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.09.2018 09:00";"16.6";"751.0";"762.1";"";"80";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.09.2018 06:00";"15.0";"750.9";"762.1";"";"91";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"11.09.2018 03:00";"15.6";"750.1";"761.3";"";"94";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"11.09.2018 00:00";"17.0";"750.2";"761.3";"";"90";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.09.2018 21:00";"17.4";"750.2";"761.3";"";"86";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.09.2018 18:00";"19.9";"749.6";"760.6";"";"80";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.09.2018 15:00";"20.5";"749.6";"760.6";"";"72";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.09.2018 12:00";"17.4";"749.5";"760.6";"";"78";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.09.2018 09:00";"15.0";"747.9";"759.1";"";"91";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.09.2018 06:00";"14.6";"746.4";"757.6";"";"96";"Wind blowing from the north-east";"3";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";"";
"10.09.2018 03:00";"14.0";"746.4";"757.6";"";"96";"Wind blowing from the north-east";"3";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";"";
"10.09.2018 00:00";"14.2";"747.1";"758.3";"";"96";"Wind blowing from the north-east";"4";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"09.09.2018 21:00";"14.4";"747.9";"759.1";"";"93";"Wind blowing from the north-east";"4";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"09.09.2018 18:00";"16.2";"748.7";"759.8";"";"77";"Wind blowing from the north-east";"4";"";"";"";" ";"Rain.";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.09.2018 15:00";"16.0";"749.5";"760.6";"";"79";"Wind blowing from the north-east";"1";"";"";"";" ";"Rain.";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.09.2018 12:00";"22.7";"749.7";"760.6";"";"38";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.09.2018 09:00";"19.8";"749.6";"760.6";"";"57";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.09.2018 06:00";"18.2";"750.2";"761.3";"";"59";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.09.2018 03:00";"19.4";"750.3";"761.3";"";"60";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.09.2018 00:00";"18.4";"751.0";"762.1";"";"63";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 21:00";"20.5";"750.3";"761.3";"";"63";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 18:00";"21.3";"751.1";"762.1";"";"59";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 15:00";"19.8";"751.1";"762.1";"";"60";"Wind blowing from the north-east";"3";"";"";"";" ";"Rain.";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 12:00";"19.8";"751.1";"762.1";"";"47";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 09:00";"16.2";"750.9";"762.1";"";"52";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 06:00";"14.4";"750.1";"761.3";"";"57";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 03:00";"13.8";"749.4";"760.6";"";"67";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.09.2018 00:00";"17.6";"749.5";"760.6";"";"67";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 21:00";"20.9";"748.8";"759.8";"";"69";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 18:00";"24.3";"748.3";"759.1";"";"35";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 15:00";"23.4";"748.2";"759.1";"";"40";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 12:00";"22.1";"748.2";"759.1";"";"57";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 09:00";"19.4";"748.1";"759.1";"";"62";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 06:00";"17.2";"747.2";"758.3";"";"65";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 03:00";"18.6";"747.3";"758.3";"";"61";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"07.09.2018 00:00";"20.1";"747.3";"758.3";"";"56";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 21:00";"22.7";"747.4";"758.3";"";"63";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 18:00";"25.4";"746.8";"757.6";"";"30";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 15:00";"25.6";"747.5";"758.3";"";"27";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 12:00";"23.2";"747.5";"758.3";"";"36";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 09:00";"20.8";"747.4";"758.3";"";"46";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 06:00";"15.8";"747.2";"758.3";"";"63";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 03:00";"17.2";"748.0";"759.1";"";"63";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.09.2018 00:00";"18.2";"748.1";"759.1";"";"58";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 21:00";"20.9";"748.8";"759.8";"";"53";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 18:00";"26.2";"748.3";"759.1";"";"54";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 15:00";"26.5";"749.0";"759.8";"";"48";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 12:00";"24.1";"750.4";"761.3";"";"45";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 09:00";"19.9";"750.3";"761.3";"";"68";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 06:00";"18.0";"749.5";"760.6";"";"64";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 03:00";"19.9";"749.6";"760.6";"";"62";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.09.2018 00:00";"21.7";"750.4";"761.3";"";"55";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 21:00";"23.8";"750.4";"761.3";"";"50";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 18:00";"28.9";"749.9";"760.6";"";"25";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 15:00";"31.1";"750.0";"760.6";"";"20";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 12:00";"29.1";"750.6";"761.3";"";"31";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 09:00";"22.1";"751.2";"762.1";"";"48";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 06:00";"15.2";"750.9";"762.1";"";"68";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 03:00";"18.0";"751.0";"762.1";"";"67";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.09.2018 00:00";"19.8";"751.1";"762.1";"";"63";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 21:00";"21.1";"751.8";"762.8";"";"59";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 18:00";"29.8";"752.1";"762.8";"";"25";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 15:00";"30.8";"752.9";"763.6";"";"23";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 12:00";"30.5";"753.6";"764.3";"";"24";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 09:00";"22.3";"754.8";"765.8";"";"44";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 06:00";"15.6";"754.6";"765.8";"";"60";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 03:00";"17.4";"754.6";"765.8";"";"63";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.09.2018 00:00";"19.8";"755.5";"766.6";"";"52";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 21:00";"23.5";"754.9";"765.8";"";"51";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 18:00";"30.7";"754.4";"765.1";"";"49";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 15:00";"32.1";"754.5";"765.1";"";"23";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 12:00";"29.1";"755.1";"765.8";"";"37";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 09:00";"20.9";"754.8";"765.8";"";"64";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 06:00";"14.2";"754.5";"765.8";"";"96";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"02.09.2018 03:00";"17.4";"753.9";"765.1";"";"86";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"02.09.2018 00:00";"20.1";"754.0";"765.1";"";"77";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 21:00";"22.7";"754.8";"765.8";"";"70";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 18:00";"29.3";"754.4";"765.1";"";"44";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 15:00";"29.5";"754.4";"765.1";"";"43";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 12:00";"26.3";"755.0";"765.8";"";"48";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 09:00";"18.8";"754.7";"765.8";"";"73";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 06:00";"14.2";"754.5";"765.8";"";"89";"Calm, no wind";"0";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";"";
"01.09.2018 03:00";"15.6";"754.6";"765.8";"";"82";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.09.2018 00:00";"18.2";"754.7";"765.8";"";"70";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 21:00";"21.3";"754.1";"765.1";"";"65";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 18:00";"26.3";"753.5";"764.3";"";"40";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 15:00";"26.7";"752.8";"763.6";"";"44";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 12:00";"24.9";"753.4";"764.3";"";"52";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 09:00";"19.0";"753.2";"764.3";"";"71";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 06:00";"14.0";"753.0";"764.3";"";"89";"Wind blowing from the south-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"31.08.2018 03:00";"15.2";"753.1";"764.3";"";"85";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"31.08.2018 00:00";"17.4";"752.5";"763.6";"";"78";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"30.08.2018 21:00";"20.4";"752.6";"763.6";"";"71";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"30.08.2018 18:00";"25.6";"752.0";"762.8";"";"51";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"30.08.2018 15:00";"26.9";"752.0";"762.8";"";"49";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"30.08.2018 12:00";"24.1";"751.9";"762.8";"";"56";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"30.08.2018 09:00";"19.0";"752.5";"763.6";"";"77";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"30.08.2018 06:00";"15.2";"752.4";"763.6";"";"91";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"30.08.2018 03:00";"15.8";"752.4";"763.6";"";"94";"Wind blowing from the north-west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";"";
"30.08.2018 00:00";"17.2";"752.5";"763.6";"";"94";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";"";
"29.08.2018 21:00";"18.8";"752.5";"763.6";"";"88";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.08.2018 18:00";"20.7";"751.8";"762.8";"";"81";"Wind blowing from the north-west";"2";"";"";"";" ";"Shower(s).";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.08.2018 15:00";"20.3";"752.6";"763.6";"";"77";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.08.2018 12:00";"24.1";"751.9";"762.8";"";"61";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.08.2018 09:00";"19.6";"751.8";"762.8";"";"79";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.08.2018 06:00";"17.8";"751.0";"762.1";"";"90";"Wind blowing from the north-east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";"";
"29.08.2018 03:00";"18.4";"751.0";"762.1";"";"88";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.08.2018 00:00";"19.8";"751.1";"762.1";"";"87";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 21:00";"20.5";"750.3";"761.3";"";"75";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 18:00";"30.7";"750.0";"760.6";"";"29";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 15:00";"31.7";"750.0";"760.6";"";"25";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 12:00";"29.1";"750.6";"761.3";"";"43";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 09:00";"21.3";"750.3";"761.3";"";"50";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 06:00";"12.2";"750.8";"762.1";"";"88";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 03:00";"14.8";"750.1";"761.3";"";"72";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.08.2018 00:00";"16.0";"750.1";"761.3";"";"61";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 21:00";"21.1";"749.6";"760.6";"";"56";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 18:00";"29.9";"748.5";"759.1";"";"27";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 15:00";"31.1";"748.5";"759.1";"";"27";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 12:00";"28.0";"749.1";"759.8";"";"32";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 09:00";"21.7";"748.9";"759.8";"";"37";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 06:00";"14.2";"748.6";"759.8";"";"71";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 03:00";"15.0";"748.6";"759.8";"";"83";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.08.2018 00:00";"20.3";"748.1";"759.1";"";"57";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 21:00";"22.9";"748.2";"759.1";"";"55";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 18:00";"29.9";"747.7";"758.3";"";"28";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 15:00";"31.8";"747.8";"758.3";"";"30";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 12:00";"30.1";"748.5";"759.1";"";"36";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 09:00";"22.4";"748.2";"759.1";"";"48";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 06:00";"13.6";"748.6";"759.8";"";"73";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 03:00";"15.0";"748.6";"759.8";"";"66";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.08.2018 00:00";"17.8";"748.7";"759.8";"";"60";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.08.2018 21:00";"21.1";"748.2";"759.1";"";"58";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.08.2018 18:00";"28.5";"747.6";"758.3";"";"33";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
